Restaurant ID,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Aggregate rating,Rating color,Rating text,Votes
301105,300,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,9
311228,400,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,5
6226,250,Indian Rupees(Rs.),No,No,No,1,2.8,Orange,Average,10
311229,500,Indian Rupees(Rs.),No,No,No,2,2.9,Orange,Average,4
306555,900,Indian Rupees(Rs.),Yes,No,No,2,3.3,Orange,Average,26
301110,150,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,13
304986,500,Indian Rupees(Rs.),No,Yes,No,2,3.5,Yellow,Good,90
311256,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,3
307847,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18376492,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
6216,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
313360,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18490756,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18375376,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,3
18089212,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18375395,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18237719,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,1
18082236,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18375383,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,0
309979,350,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,7
18025093,400,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,4
307990,250,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,9
309517,400,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,6
18489842,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,0
18350159,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18375201,700,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,0
18025127,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18478990,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18433297,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18472695,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18415339,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,3
311683,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
313073,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,3
18415338,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18168122,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18478992,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18168124,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18414506,600,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,1
18409207,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
6341,500,Indian Rupees(Rs.),No,No,No,2,3.4,Orange,Average,91
1951,1000,Indian Rupees(Rs.),Yes,Yes,No,3,3.2,Orange,Average,151
250,1000,Indian Rupees(Rs.),No,No,No,3,2.8,Orange,Average,83
312753,700,Indian Rupees(Rs.),No,No,No,2,2.9,Orange,Average,4
312983,500,Indian Rupees(Rs.),No,No,No,2,3.0,Orange,Average,4
18492029,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18489541,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18486862,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18492025,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18352672,150,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18489825,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18340302,600,Indian Rupees(Rs.),No,Yes,No,2,0.0,White,Not rated,0
18489819,150,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18175297,350,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18034037,350,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18175282,350,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,3
18489532,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18277178,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18408079,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,2
18232989,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18492033,350,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18489832,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18467388,1000,Indian Rupees(Rs.),Yes,No,No,3,0.0,White,Not rated,0
18175299,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18337908,1200,Indian Rupees(Rs.),No,No,No,3,0.0,White,Not rated,1
18463608,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18489836,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18277163,250,Indian Rupees(Rs.),No,Yes,No,1,0.0,White,Not rated,2
18489545,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18277176,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18175278,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18489808,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18446867,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,0
18486879,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18489852,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18489804,150,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18489802,350,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
3207,2000,Indian Rupees(Rs.),No,Yes,No,4,3.4,Orange,Average,220
4752,2100,Indian Rupees(Rs.),Yes,No,No,4,3.4,Orange,Average,570
4830,1100,Indian Rupees(Rs.),No,Yes,No,3,3.8,Yellow,Good,565
4341,2200,Indian Rupees(Rs.),Yes,Yes,No,4,3.5,Yellow,Good,498
307237,700,Indian Rupees(Rs.),No,No,No,2,4.1,Green,Very Good,92
18260028,1200,Indian Rupees(Rs.),Yes,No,No,3,3.2,Orange,Average,20
18317481,2000,Indian Rupees(Rs.),Yes,No,No,4,0.0,White,Not rated,2
18317473,1000,Indian Rupees(Rs.),Yes,No,No,3,0.0,White,Not rated,0
18317479,2000,Indian Rupees(Rs.),Yes,No,No,4,0.0,White,Not rated,0
18317476,2000,Indian Rupees(Rs.),Yes,No,No,4,0.0,White,Not rated,1
18317483,1000,Indian Rupees(Rs.),No,No,No,3,0.0,White,Not rated,0
312576,350,Indian Rupees(Rs.),No,Yes,Yes,1,3.8,Yellow,Good,727
5347,250,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,62
300945,400,Indian Rupees(Rs.),No,Yes,No,1,2.6,Orange,Average,52
300934,200,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,16
3223,700,Indian Rupees(Rs.),No,No,No,2,2.8,Orange,Average,94
307554,400,Indian Rupees(Rs.),No,Yes,No,1,2.9,Orange,Average,39
967,800,Indian Rupees(Rs.),No,Yes,No,2,3.3,Orange,Average,255
6196,1200,Indian Rupees(Rs.),No,No,No,3,2.7,Orange,Average,47
18381220,400,Indian Rupees(Rs.),No,Yes,No,1,3.1,Orange,Average,25
2491,500,Indian Rupees(Rs.),No,No,No,2,3.1,Orange,Average,16
1041,500,Indian Rupees(Rs.),No,No,No,2,3.1,Orange,Average,105
982,700,Indian Rupees(Rs.),No,No,No,2,3.0,Orange,Average,12
18352186,400,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,17
9380,200,Indian Rupees(Rs.),No,No,No,1,3.3,Orange,Average,32
1303,850,Indian Rupees(Rs.),Yes,Yes,No,2,3.4,Orange,Average,101
18168462,300,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,8
311734,500,Indian Rupees(Rs.),No,Yes,No,2,3.4,Orange,Average,68
2291,450,Indian Rupees(Rs.),No,No,No,1,2.7,Orange,Average,20
9427,100,Indian Rupees(Rs.),No,No,No,1,3.7,Yellow,Good,78
5874,300,Indian Rupees(Rs.),No,No,No,1,3.5,Yellow,Good,62
3375,300,Indian Rupees(Rs.),No,No,No,1,3.7,Yellow,Good,142
312353,300,Indian Rupees(Rs.),No,No,No,1,3.5,Yellow,Good,41
180,500,Indian Rupees(Rs.),No,Yes,No,2,3.6,Yellow,Good,122
18057822,300,Indian Rupees(Rs.),No,No,No,1,3.5,Yellow,Good,20
6607,300,Indian Rupees(Rs.),No,No,No,1,3.7,Yellow,Good,128
18247031,1600,Indian Rupees(Rs.),Yes,Yes,No,3,4.1,Green,Very Good,155
18264447,600,Indian Rupees(Rs.),No,Yes,No,2,3.3,Orange,Average,28
300911,200,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,15
4090,400,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,21
5729,400,Indian Rupees(Rs.),No,No,No,1,2.7,Orange,Average,9
309704,150,Indian Rupees(Rs.),No,No,No,1,2.8,Orange,Average,13
964,800,Indian Rupees(Rs.),Yes,No,No,2,3.3,Orange,Average,97
307333,350,Indian Rupees(Rs.),No,No,No,1,3.5,Yellow,Good,38
5765,250,Indian Rupees(Rs.),No,No,No,1,3.8,Yellow,Good,234
18037821,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,3
18400738,1200,Indian Rupees(Rs.),Yes,No,No,3,4.3,Green,Very Good,113
307730,400,Indian Rupees(Rs.),No,No,No,1,3.4,Orange,Average,33
305251,650,Indian Rupees(Rs.),No,No,No,2,3.1,Orange,Average,18
312087,300,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,6
18070503,500,Indian Rupees(Rs.),No,No,No,2,2.7,Orange,Average,31
18454460,500,Indian Rupees(Rs.),No,Yes,No,2,3.3,Orange,Average,19
18419902,300,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,13
307356,800,Indian Rupees(Rs.),No,No,No,2,2.9,Orange,Average,48
8580,300,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,25
18324914,400,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,13
300473,700,Indian Rupees(Rs.),No,No,No,2,3.3,Orange,Average,79
306250,600,Indian Rupees(Rs.),No,No,No,2,3.2,Orange,Average,32
18356784,400,Indian Rupees(Rs.),No,No,No,1,3.3,Orange,Average,11
8373,500,Indian Rupees(Rs.),No,Yes,No,2,2.6,Orange,Average,87
308101,350,Indian Rupees(Rs.),No,No,No,1,3.3,Orange,Average,28
8840,500,Indian Rupees(Rs.),No,Yes,No,2,2.6,Orange,Average,69
18228870,350,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,41
7066,1100,Indian Rupees(Rs.),No,Yes,No,3,3.5,Yellow,Good,120
305479,600,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,107
8845,400,Indian Rupees(Rs.),No,No,No,1,3.5,Yellow,Good,33
7509,1200,Indian Rupees(Rs.),Yes,No,No,3,3.8,Yellow,Good,371
302715,1000,Indian Rupees(Rs.),Yes,Yes,No,3,2.4,Red,Poor,96
18241509,400,Indian Rupees(Rs.),No,No,No,1,4.1,Green,Very Good,60
18277003,800,Indian Rupees(Rs.),No,Yes,No,2,4.1,Green,Very Good,137
7547,700,Indian Rupees(Rs.),No,Yes,No,2,2.6,Orange,Average,34
301236,250,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,22
18082630,750,Indian Rupees(Rs.),Yes,Yes,No,2,3.3,Orange,Average,27
7548,600,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,62
310419,350,Indian Rupees(Rs.),No,Yes,No,1,3.5,Yellow,Good,57
4634,300,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,15
18228874,700,Indian Rupees(Rs.),No,No,No,2,3.1,Orange,Average,17
18433904,400,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,10
312145,300,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,21
304585,500,Indian Rupees(Rs.),No,No,No,2,2.5,Orange,Average,20
312916,150,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,7
313006,500,Indian Rupees(Rs.),No,No,No,2,3.0,Orange,Average,5
305861,150,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,7
9026,700,Indian Rupees(Rs.),No,No,No,2,3.4,Orange,Average,57
309178,300,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,31
18249097,600,Indian Rupees(Rs.),No,No,No,2,3.0,Orange,Average,6
308880,550,Indian Rupees(Rs.),No,No,No,2,2.9,Orange,Average,8
18382113,500,Indian Rupees(Rs.),No,No,No,2,3.0,Orange,Average,4
18241861,900,Indian Rupees(Rs.),Yes,No,No,2,3.0,Orange,Average,8
310162,500,Indian Rupees(Rs.),No,No,No,2,3.1,Orange,Average,9
303589,200,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,5
311459,400,Indian Rupees(Rs.),No,Yes,No,1,3.4,Orange,Average,25
9053,100,Indian Rupees(Rs.),No,Yes,No,1,3.8,Yellow,Good,85
312893,500,Indian Rupees(Rs.),No,No,No,2,3.5,Yellow,Good,53
18273640,200,Indian Rupees(Rs.),No,Yes,No,1,3.7,Yellow,Good,39
308130,150,Indian Rupees(Rs.),No,No,No,1,3.7,Yellow,Good,39
5663,700,Indian Rupees(Rs.),No,No,No,2,3.6,Yellow,Good,99
18247005,400,Indian Rupees(Rs.),No,No,No,1,3.6,Yellow,Good,20
18449827,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18342574,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,0
18391689,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
304573,350,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
304586,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18449629,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18451179,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18451158,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18451166,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18238245,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,1
308110,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
312213,600,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,3
18410370,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18236975,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,0
18471517,700,Indian Rupees(Rs.),Yes,No,No,2,0.0,White,Not rated,1
304469,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18451144,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
4084,200,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,4
310947,100,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,5
310989,200,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,5
18358295,300,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,4
18317756,300,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,8
310936,300,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,9
308796,350,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,14
18460320,200,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,6
18241893,350,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,4
18363053,400,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,4
310997,450,Indian Rupees(Rs.),No,No,No,1,2.7,Orange,Average,11
6629,100,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,12
302685,200,Indian Rupees(Rs.),No,No,No,1,2.8,Orange,Average,11
18241860,250,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,7
2920,200,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,10
18238281,150,Indian Rupees(Rs.),No,No,No,1,3.1,Orange,Average,6
18204485,400,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,4
18126086,500,Indian Rupees(Rs.),No,No,No,2,3.1,Orange,Average,8
9031,100,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,14
18254532,200,Indian Rupees(Rs.),No,No,No,1,3.0,Orange,Average,11
18380219,700,Indian Rupees(Rs.),No,Yes,No,2,3.1,Orange,Average,5
18258473,250,Indian Rupees(Rs.),No,Yes,No,1,2.6,Orange,Average,6
303602,400,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,11
18396163,400,Indian Rupees(Rs.),No,No,No,1,3.5,Yellow,Good,14
18485962,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18421485,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18363044,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18424171,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18363051,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18449788,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,3
18466410,50,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18107851,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18466408,400,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18466400,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18361765,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18424169,700,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,1
18449653,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18449786,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18466675,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18449647,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18361779,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18363048,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
310954,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
312413,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18361767,150,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18421473,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
310995,250,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18421475,150,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18418268,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18421459,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18361771,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18241864,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18449657,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,0
18396177,350,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18449639,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18357954,300,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
310965,150,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,2
18418278,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
18449664,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18480435,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,3
311009,500,Indian Rupees(Rs.),No,No,No,2,0.0,White,Not rated,3
310988,50,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18421461,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
310952,50,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18449667,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18449661,100,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
18449643,150,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,0
300791,200,Indian Rupees(Rs.),No,No,No,1,0.0,White,Not rated,1
300264,250,Indian Rupees(Rs.),No,No,No,1,2.8,Orange,Average,22
18425751,350,Indian Rupees(Rs.),No,No,No,1,3.2,Orange,Average,11
7388,250,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,8
311485,350,Indian Rupees(Rs.),No,No,No,1,2.9,Orange,Average,10
2870,400,Indian Rupees(Rs.),No,No,No,1,3.3,Orange,Average,86
18397908,1000,Indian Rupees(Rs.),Yes,No,No,3,3.0,Orange,Average,6
312765,500,Indian Rupees(Rs.),No,No,No,2,3.2,Orange,Average,12
5879,600,Indian Rupees(Rs.),No,Yes,No,2,3.4,Orange,Average,135
